!	50	1													
#	Size1	Size2	Fmig	Emig	Femit1	Eemig1	Eb1	Femit2	Eemig2	Eb2	Frotate	Echdir	Ftm	Etm	R
#unit	n/a	n/a	(s-1)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(s-1)	(eV)	a0
	1	0	6.00E+12	1.68	6.00E+12	1.68	10	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	0.433
	2	0	6.00E+09	1.44	6.00E+12	1.68	-0.410826822	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	0.561
	3	0	6.00E+06	0.83	6.00E+12	1.68	-0.063582912	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	0.651
	4	0	6.00E+03	1.53	6.00E+12	1.68	0.837037746	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	0.722
	5	0	6.00E+00	1.68	6.00E+12	1.68	0.835654305	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	0.783
	6	0	6.00E-03	1.68	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	0.835
	7	0	6.00E-06	1.68	6.00E+12	1.68	0.837037746	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	0.883
	8	0	6.00E-09	1.68	6.00E+12	1.68	1.390414495	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	0.925
	9	0	6.00E-12	1.68	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	0.965
	10	0	6.00E-15	1.68	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1
	11	0	6.00E-18	1.68	6.00E+12	1.68	1.737658405	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.04
	12	0	6.00E-21	1.68	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.07
	13	0	6.00E-24	1.68	6.00E+12	1.68	1.736274963	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.1
	14	0	6.00E-27	1.68	6.00E+12	1.68	2.429379341	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.13
	15	0	6.00E-30	1.68	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.15
	16	0	6.00E-33	1.68	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.18
	17	0	6.00E-36	1.68	6.00E+12	1.68	1.184281656	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.21
	18	0	6.00E-39	1.68	6.00E+12	1.68	1.736274963	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.23
	19	0	6.00E-42	1.68	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.25
	20	0	6.00E-45	1.68	6.00E+12	1.68	2.083518873	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.28
	21	0	6.00E-48	1.68	6.00E+12	1.68	2.083518873	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.3
	22	0	6.00E-51	1.68	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	1.32
